GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AF2ME001,AF2ME002,AF2ME003,AF2ME004,AF2ME005,AF2ME006,AF2ME007,AF2ME008,AF2ME009,AF2ME010,AF4OE001,AF4OE002,AF4OE003,AF4OE004,AF4OE005,AF4OE006,AF4OE007,AF4OE008,AF4OE009,AF4OE010,AF4OE011,AF4OE012,AF4OE013,AF4OE014,AF4OE015,AF4OE016,AF4OE017,AF4OE018,AF4OE019,AF4OE020,AF4OE021,AF4OE022,AF4OE023,AF4OE024,AF4OE025,AF49E001,NAME_M,AF2MM001,AF2MM002,AF2MM003,AF2MM004,AF2MM005,AF2MM006,AF2MM007,AF2MM008,AF2MM009,AF2MM010,AF4OM001,AF4OM002,AF4OM003,AF4OM004,AF4OM005,AF4OM006,AF4OM007,AF4OM008,AF4OM009,AF4OM010,AF4OM011,AF4OM012,AF4OM013,AF4OM014,AF4OM015,AF4OM016,AF4OM017,AF4OM018,AF4OM019,AF4OM020,AF4OM021,AF4OM022,AF4OM023,AF4OM024,AF4OM025,AF49M001
"G0100010","2012-2016",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",55049,42311,10196,226,444,31,764,1077,70,1007,36466,456,0,0,18,0,66,10,17,236,145,358,798,808,999,617,10288,2231,2677,5171,2603,5204,3041,480,243,53099,"Autauga County, Alabama",0,336,260,75,158,33,381,324,72,320,108,168,27,27,20,27,67,12,19,140,88,160,220,204,249,185,679,309,413,510,374,568,456,251,98,2631
"G0100030","2012-2016",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",199510,172441,18594,1355,1338,0,1766,4016,908,3108,139946,1039,14,52,0,30,136,142,199,656,387,1321,2205,3042,2790,1943,32640,7514,8637,22641,13208,27056,10063,2967,1264,51365,"Baldwin County, Alabama",0,618,635,328,401,27,587,758,477,692,306,248,20,58,27,46,116,100,147,279,142,353,398,497,455,298,1551,799,722,1196,874,1290,859,485,291,991
"G0100050","2012-2016",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",26614,12430,12756,46,129,0,1099,154,6,148,18387,326,7,28,5,41,109,53,74,189,176,531,650,993,1026,616,5015,1407,1151,2114,1510,1431,736,124,75,33956,"Barbour County, Alabama",0,202,71,45,33,21,203,67,10,67,160,90,12,28,12,28,70,37,37,78,80,121,138,158,189,144,315,196,215,211,224,206,169,65,45,2655
"G0100070","2012-2016",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",22572,17370,4788,81,14,0,8,311,0,311,15750,237,0,0,0,25,22,8,9,91,242,275,641,614,624,252,5204,1382,724,2599,911,971,763,56,100,39776,"Bibb County, Alabama",0,15,216,44,25,21,15,214,21,214,161,113,21,21,21,32,29,12,14,64,91,93,209,155,191,130,467,273,179,404,263,235,225,42,105,3306
"G0100090","2012-2016",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",57704,55073,905,201,92,0,501,932,28,904,39472,705,0,4,1,56,48,111,202,522,239,853,1281,1767,1167,926,10869,2134,3448,5421,4567,3522,1261,239,129,46212,"Blount County, Alabama",0,284,97,104,56,27,254,196,27,189,113,189,27,9,4,46,45,100,96,143,125,205,265,406,262,176,707,281,436,535,427,383,223,114,75,2443
"G0100110","2012-2016",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",10552,2301,7967,84,84,0,1,115,0,115,7333,102,0,0,13,6,50,50,24,31,148,130,194,317,690,697,2302,202,173,1168,284,356,270,90,36,29335,"Bullock County, Alabama",0,17,204,110,88,18,4,171,18,171,189,70,18,18,21,12,49,59,30,40,83,67,114,126,196,243,372,97,106,287,127,129,104,76,49,5435
"G0100130","2012-2016",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",20280,10876,8875,15,203,0,44,267,0,267,13949,307,0,0,9,3,48,27,22,172,123,277,389,395,555,315,4864,695,567,1828,1110,1328,674,136,105,34315,"Butler County, Alabama",0,87,86,14,26,21,55,95,21,95,60,107,21,21,20,5,59,32,28,52,56,76,103,103,117,85,300,137,118,185,208,189,139,69,53,2904
"G0100150","2012-2016",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",115883,86777,23791,382,1079,6,1221,2627,133,2494,78661,941,20,13,2,21,217,160,191,517,865,1361,1994,3126,2889,1577,20167,5061,5835,14047,5771,8247,4138,860,641,41954,"Calhoun County, Alabama",0,448,432,246,116,10,422,483,100,451,117,216,31,20,4,31,106,103,90,154,205,241,330,376,409,240,811,477,496,808,579,662,399,198,188,1381
"G0100170","2012-2016",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",34018,19417,13779,78,312,0,42,390,18,372,23854,451,0,0,10,0,70,42,58,170,220,307,843,1027,921,589,7615,1786,1337,3516,1914,2086,624,203,65,36027,"Chambers County, Alabama",0,83,180,41,30,24,55,163,29,160,52,152,24,24,16,24,53,47,74,78,112,136,216,210,201,142,471,272,239,344,290,269,121,73,44,1870
"G0100190","2012-2016",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",25897,24156,1209,152,109,0,2,269,6,263,18694,311,0,0,15,0,15,19,120,165,119,332,686,767,668,282,5631,1091,1234,3060,1569,1463,766,279,102,38925,"Cherokee County, Alabama",0,49,101,82,78,21,4,117,11,112,96,113,21,21,23,21,19,24,94,84,63,128,204,184,200,86,495,204,238,393,276,252,174,115,82,2598
